continent,common_name,species_name
North America,White-crested Coquette,Lophornis adorabilis
North America,Greenish Puffleg,Haplophaedia aureliae
North America,Green-crowned Brilliant,Heliodoxa jacula
North America,Rivoli's Hummingbird,Eugenes fulgens
North America,Talamanca Hummingbird,Eugenes spectabilis
North America,Long-billed Starthroat,Heliomaster longirostris
North America,Plain-capped Starthroat,Heliomaster constantii
North America,Fiery-throated Hummingbird,Panterpe insignis
North America,Green-throated Mountain-gem,Lampornis viridipallens
North America,Green-breasted Mountain-gem,Lampornis sybillae
North America,Amethyst-throated Mountain-gem,Lampornis amethystinus
North America,Blue-throated Mountain-gem,Lampornis clemenciae
North America,White-bellied Mountain-gem,Lampornis hemileucus
North America,Purple-throated Mountain-gem,Lampornis calolaemus
North America,White-throated Mountain-gem,Lampornis castaneoventris
North America,Garnet-throated Hummingbird,Lamprolaima rhami
North America,Sparkling-tailed Hummingbird,Tilmatura dupontii
North America,Magenta-throated Woodstar,Philodice bryantae
North America,Purple-throated Woodstar,Philodice mitchellii
North America,Slender Sheartail,Doricha enicura
North America,Mexican Sheartail,Doricha eliza
North America,Lucifer Hummingbird,Calothorax lucifer
North America,Beautiful Hummingbird,Calothorax pulcher
North America,Ruby-throated Hummingbird,Archilochus colubris
North America,Black-chinned Hummingbird,Archilochus alexandri
North America,Bahama Woodstar,Nesophlox evelynae
North America,Inagua Woodstar,Nesophlox lyrura
North America,Vervain Hummingbird,Mellisuga minima
North America,Bee Hummingbird,Mellisuga helenae
North America,Anna's Hummingbird,Calypte anna
North America,Costa's Hummingbird,Calypte costae
North America,Calliope Hummingbird,Selasphorus calliope
North America,Rufous Hummingbird,Selasphorus rufus
North America,Allen's Hummingbird,Selasphorus sasin
North America,Broad-tailed Hummingbird,Selasphorus platycercus
North America,Bumblebee Hummingbird,Selasphorus heloisa
North America,Wine-throated Hummingbird,Selasphorus ellioti
North America,Volcano Hummingbird,Selasphorus flammula
North America,Scintillant Hummingbird,Selasphorus scintilla
North America,Glow-throated Hummingbird,Selasphorus ardens
North America,Dusky Hummingbird,Phaeoptila sordida
North America,Cuban Emerald,Riccordia ricordii
North America,Brace's Emerald,Riccordia bracei
North America,Hispaniolan Emerald,Riccordia swainsonii
North America,Puerto Rican Emerald,Riccordia maugaeus
North America,Blue-headed Hummingbird,Riccordia bicolor
North America,Broad-billed Hummingbird,Cynanthus latirostris
North America,Turquoise-crowned Hummingbird,Cynanthus doubledayi
North America,Golden-crowned Emerald,Cynanthus auriceps
North America,Cozumel Emerald,Cynanthus forficatus
North America,Canivet's Emerald,Cynanthus canivetii
North America,Garden Emerald,Chlorostilbon assimilis
North America,White-eared Hummingbird,Basilinna leucotis
North America,Xantus's Hummingbird,Basilinna xantusii
North America,Wedge-tailed Sabrewing,Pampa curvipennis
