box,latitude,longitude,class,class score,order,order score,family,family score,genus,genus score,species,species score,Royal Spoonbill,Pied Oystercatcher,Gentoo Penguin,Australian Wood Duck,European Herring Gull,Grey Teal,Masked Lapwing,Australian White Ibis,Lesser Black-backed Gull,Silver Gull,Gull-billed Tern,Pacific Black Duck,Pied Stilt
"[18241.5, 6198.0, 18279.5, 6220.0]",-0.000714737644947123,0.0021020239596645095,aves,0.9873858094215393,charadriiformes,0.9873243570327759,charadriidae,0.987194836139679,vanellus,0.987194836139679,miles,0.987194836139679,2.9862342216802062e-06,4.164316851529293e-05,1.273931502510095e-05,4.182457757906377e-07,5.515066163752635e-07,1.1783985428337473e-05,0.987194836139679,6.2937951952335425e-06,1.3624739949591458e-06,1.799789424694609e-05,5.1057028031209484e-05,2.7227817554376088e-05,1.688071461103391e-05
"[10671.5, 9141.0, 10737.5, 9237.0]",-0.0010577748783087637,0.0012322288807113026,aves,0.9842542409896851,charadriiformes,0.9828855395317078,laridae,0.9824144244194031,larus,0.982335090637207,fuscus,0.9821553826332092,7.055552487145178e-06,1.865541526058223e-05,0.00034789741039276123,0.00010668436152627692,0.00017969822511076927,4.679587800637819e-05,9.833409421844408e-05,0.0006256709457375109,0.9821553826332092,2.3607317416463047e-05,5.574754686676897e-05,0.00023459427757188678,0.00035408561234362423
"[17544.5, 9034.0, 17583.5, 9057.0]",-0.0010412561390512483,0.002021847639853643,aves,0.9798136353492737,charadriiformes,0.9797894954681396,charadriidae,0.9792397022247314,vanellus,0.9792397022247314,miles,0.9792397022247314,7.59240663228411e-07,2.742470496741589e-05,5.96170457356493e-06,3.1053446036821697e-07,2.614052334592998e-07,9.662167940405197e-06,0.9792397022247314,3.4548743315099273e-06,1.9059151554756681e-06,7.382057810900733e-05,5.006269930163398e-06,4.00192311644787e-06,0.0004413898859638721
"[17715.5, 7952.0, 17752.5, 7975.0]",-0.0009167036939179278,0.0020414168779984343,aves,0.9738085269927979,charadriiformes,0.9737101197242737,charadriidae,0.9735422730445862,vanellus,0.9735422730445862,miles,0.9735422730445862,3.26465897160233e-06,6.933858821867034e-05,2.417567520751618e-05,4.757964404689119e-07,7.427296964124253e-07,1.94981403183192e-05,0.9735422730445862,5.265187610348221e-06,1.772222617546504e-06,1.2239535863045603e-05,5.492373020388186e-05,4.577706567943096e-05,2.8796082915505394e-05
"[18240.5, 6664.0, 18279.5, 6686.0]",-0.0007683803800969634,0.0021019664030817306,aves,0.9755370616912842,charadriiformes,0.9752562642097473,charadriidae,0.9734671711921692,vanellus,0.9734671711921692,miles,0.9734671711921692,4.9314283387502655e-05,0.0006575500592589378,5.944258737144992e-05,8.10473648016341e-06,4.0836002881405875e-06,7.014556467765942e-05,0.9734671711921692,2.790288272080943e-05,6.947371275600744e-06,0.00043938527232967317,9.947726357495412e-05,6.596645835088566e-05,0.0005816006450913846
"[15523.5, 9984.0, 15624.5, 10031.0]",-0.0011519950043176572,0.0017927724403940238,aves,0.9698041677474976,pelecaniformes,0.9695512056350708,threskiornithidae,0.9695512056350708,threskiornis,0.9691629409790039,molucca,0.9691629409790039,0.0003882767341565341,1.6620846281512058e-06,0.00014056845975574106,1.7054124327842146e-05,2.025950834649848e-06,1.8022496988123748e-06,1.1261859981459565e-05,0.9691629409790039,1.0946120710286777e-05,5.176175818633055e-06,5.947657336946577e-05,8.157363140526286e-07,2.131970177288167e-06
"[8243.5, 8637.0, 8320.5, 8674.0]",-0.0009963620044837853,0.0009533672371480227,aves,0.9804068803787231,anseriformes,0.9719511866569519,anatidae,0.9719511866569519,anas,0.9697602987289429,superciliosa,0.9686242938041687,0.000188981561223045,0.001015199115499854,0.00034417511778883636,0.0021909016650170088,0.00040241831447929144,0.0011360010830685496,0.0015254883328452706,7.176202052505687e-05,0.004246322903782129,6.144707731436938e-05,0.00020866327395197004,0.9686242938041687,0.00039129890501499176
"[3764.5, 241.0, 3836.5, 291.0]",-3.062010203832094e-05,0.0004374875857016493,aves,0.9814549684524536,anseriformes,0.9670333862304688,anatidae,0.9670333862304688,anas,0.9664034843444824,superciliosa,0.9655097126960754,0.00019151304150000215,0.0020479995291680098,0.0005486697773449123,0.0006298724329099059,0.00015964261547196656,0.0008937764214351773,0.007811369840055704,0.00011959552648477256,0.002792155370116234,4.8788555432111025e-05,0.00024870975175872445,0.9655097126960754,0.00045319294440560043
"[17822.5, 6843.0, 17857.5, 6864.0]",-0.0007889280801489946,0.0020536188735475395,aves,0.9746291041374207,charadriiformes,0.9742713570594788,charadriidae,0.9628295302391052,vanellus,0.9628295302391052,miles,0.9628295302391052,4.459092906472506e-06,0.0008187754428945482,8.65441033965908e-05,1.7264761709157028e-06,1.8986528402820113e-06,7.761344750178978e-05,0.9628295302391052,7.246566838148283e-06,1.9421895558480173e-05,1.2470572073652875e-05,6.382640276569873e-05,0.0001801396138034761,0.010525398887693882
"[15234.5, 3089.0, 15323.5, 3142.0]",-0.00035863506729469504,0.0017588140565545324,aves,0.9929037094116211,charadriiformes,0.9669485092163086,laridae,0.9632905721664429,larus,0.962429404258728,fuscus,0.960226833820343,0.00017756354645825922,0.00021973418188281357,0.001158908591605723,0.0010409245733171701,0.002202580450102687,0.001525606494396925,0.0024956390261650085,0.01804286427795887,0.960226833820343,0.0002566192706581205,0.0006045715999789536,0.0040093399584293365,0.0009425527532584965
